word,meaning,synonym,antonym
manly,"{'Adjective': ['possessing qualities befitting a man', 'characteristic of a man'], 'Adverb': ['in a manful manner; with qualities thought to befit a man']}","['male', 'manful', 'manlike', 'virile', 'masculine']","['feminine', 'woman', 'female', 'androgynous', 'nonhuman']"
scrupulous,"{'Adjective': ['having scruples; arising from a sense of right and wrong; principled', 'characterized by extreme care and great effort']}","['conscientious', 'painstaking', 'careful']","['careless', 'carelessness', 'negligent', 'incautious']"
exquisite,"{'Adjective': ['intense or sharp', 'lavishly elegant and refined', 'delicately beautiful', 'of extreme beauty']}","['keen', 'intense']","['mild', 'temperate', 'unsaturated']"
analogy,"{'Noun': ['an inference that if things agree in some respects they probably agree in others', 'drawing a comparison in order to show a similarity in some respect', 'the religious belief that between creature and creator no similarity can be found so great but that the dissimilarity is always greater; any analogy between God and humans will always be inadequate']}","['comparison', 'comparing']","['atheism', 'doctrine of analogy', 'unbelief']"
effete,"{'Adjective': ['affected, overrefined, and effeminate', 'deprived of vigor and the ability to be effective']}","['indulgent', 'decadent']","['nonindulgent', 'abstemious', 'unpermissive']"
conspicuous,"{'Adjective': ['obvious to the eye or mind', 'without any attempt at concealment; completely obvious']}","['prominent', 'glaring', 'large', 'marked', 'bold', 'rank', 'in evidence', 'conspicuousness', 'striking', 'attention-getting', 'salient', 'eye-catching', 'crying', 'outstanding', 'spectacular', 'featured', 'big', 'egregious', 'gross', 'flagrant', 'indiscreet']","['inconspicuous', 'discreet', 'inconspicuousness', 'dull', 'little']"
manly,"{'Adjective': ['possessing qualities befitting a man', 'characteristic of a man'], 'Adverb': ['in a manful manner; with qualities thought to befit a man']}","['male', 'manful', 'manlike', 'virile', 'masculine']","['feminine', 'woman', 'female', 'androgynous', 'nonhuman']"
noxious,{'Adjective': ['injurious to physical or mental health']},"['pernicious', 'vesicant', 'baneful', 'degrading', 'vesicatory', 'unwholesome', 'corrupting', 'harmful', 'deadly', 'pestilent', 'toxic']","['nontoxic', 'harmless', 'wholesome', 'innocuous', 'beneficent']"
juvenile,"{'Noun': ['a young person, not fully developed'], 'Adjective': ['of or relating to or characteristic of or appropriate for children or young people', 'displaying or suggesting a lack of maturity']}","['juvenile person', 'tyke', 'youngster', 'minor', 'teenager', 'kid', 'child', 'tiddler', 'youth', 'teen', 'spring chicken', 'adolescent', 'stripling', 'someone', 'mortal', 'younker', 'ingenue', 'small fry', 'somebody', 'nestling', 'person', 'nipper', 'shaver', 'preteenager', 'individual', 'juvenile body', 'tike', 'preteen', 'young person', 'soul', 'fry']","['adult', 'senior', 'female offspring', 'parent', 'male offspring']"
prepossessing,"{'Verb': ['possess beforehand', 'cause to be preoccupied', 'make a positive impression (on someone', ""influence (somebody's""], 'Adjective': ['creating a favorable impression']}",['attractive'],"['unattractive', 'uninviting']"
iridocyclitis,{'Noun': ['inflammation of the iris and ciliary body of the eye']},"['redness', 'rubor', 'inflammation']","['achromatic color', 'unexciting', 'exciting']"
shirk,"{'Verb': [""avoid (one's assigned duties"", 'avoid dealing with']}","['avoid', 'goldbrick', 'fiddle', 'scrimshank', 'skulk', 'malinger', 'shrink from', 'slack']","['consume', 'break', 'show', 'ride', 'increase']"
Happy,"{'Adjective': ['enjoying or showing or marked by joy or pleasure', 'marked by good fortune', 'eagerly disposed to act or to be of service', 'well expressed and to the point']}","['prosperous', 'happiness', 'content', 'bright', 'joyous', 'glad', 'cheerful', 'felicitous', 'joyful', 'halcyon', 'euphoric', 'riant', 'golden', 'blessed', 'elated', 'felicity', 'blissful', 'laughing', 'contented']","['depressing', 'unhappy', 'sad', 'dejected', 'discontented', 'dysphoric', 'unhappiness', 'sorrowful', 'joyless', 'infelicitous']"
accentuate,"{'Verb': ['to stress, single out as important', 'put stress on; utter with an accent']}","['play down', 'underscore', 'stress', 'express', 'bring out', 'downplay', 'topicalize', 'accent', 're-emphasise', 'set off', 'emphasise', 'underline', 'punctuate', 'drive home', 're-emphasize', 'point up', 'background', 'ram home', 'emphasize', 'press home', 'show', 'evince', 'bear down']","['foreground', 'play up', 'background', 'hide', 'hold']"
appalled,"{'Verb': ['strike with disgust or revulsion', 'fill with apprehension or alarm; cause to be unpleasantly surprised', 'strike with disgust or revulsion', 'fill with apprehension or alarm; cause to be unpleasantly surprised'], 'Adjective': ['struck with fear, dread, or consternation']}","['afraid', 'aghast', 'shocked', 'dismayed']","['unafraid', 'brave', 'fearlessness', 'bold', 'unconcerned']"
